Invalid Form Key. Please refresh the page.,Nieprawidłowy klucz formularza. Odśwież stronę.,,
You entered an invalid Secret Key. Please refresh the page.,Wpisałeś niewłaściwy klucz tajny. Odśwież stronę.,,
Cache Storage Management,Zarządzanie pamięci masowej w pamięci podręcznej,,
Flush Magento Cache,Flush Magento Cache,,
The cache storage may contain additional data. Are you sure that you want to flush it?,"Pamięć podręczna może zawierać dodatkowe dane. Czy jesteś pewny, że chcesz ją spłukać?",,
Flush Cache Storage,Flush Cache Storage,,
Invalidated,Nieprawidłowe,,
Orders,Święcenia,,
Amounts,Kwoty,,
Bestsellers,Bestsellery,,
Most Viewed Products,Najczęściej oglądane produkty,,
New Customers,Nowi Klienci,,
Customers,Klienci,,
Customer,Klient,,
Guest,Gość,,
Items,Przedmiotów,,
Total,Całkowity,,
Lifetime Sales,Sprzedaż przez całe życie,,
Average Order,Średni porządek,,
Average,Średni,,
Product,Produkt,,
Price,Cena,,
Quantity,Ilość,,
Views,Widoki,,
Revenue,Dochód,,
Tax,Podatek,,
Shipping,Wysyłka,,
"Images (.gif, .jpg, .png)","Obrazy (.gif, .jpg, .png)",,
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)",,
All Files,Wszystkie pliki,,
Reset to Default,Przywróć ustawienia domyślne,,
All Store Views,Wszystkie widoki sklepów,,
What is this?,Co to jest?,,
Save Account,Zapisz konto,,
My Account,Moje konto,,
Account Information,informacje o koncie,,
User Name,Nazwa Użytkownika,,
First Name,Pierwsze imię,,
Last Name,Nazwisko,,
Email,E-mail,,
User Email,E-mail użytkownika,,
New Password,nowe hasło,,
Password Confirmation,Potwierdzenie hasła,,
Interface Locale,Lokalizacja interfejsu,,
Current User Identity Verification,Bieżąca weryfikacja tożsamości użytkownika,,
Your Password,Twoje hasło,,
Save Cache Settings,Zapisz ustawienia pamięci podręcznej,,
Catalog Rewrites,Aktualizacja katalogu,,
Refresh,Odświeżać,,
Images Cache,Zdjęcia Cache,,
Clear,Jasny,,
Search Index,Indeks wyszukiwania,,
Rebuild,Odbudować,,
Inventory Stock Status,Stan zapasów magazynowych,,
Rebuild Catalog Index,Indeks Katalogu Rebuild,,
Rebuild Flat Catalog Category,Rebuild Flat Kategoria katalogu,,
Rebuild Flat Catalog Product,Rebuild Flat Produkt Katalogowy,,
Cache Control,Kontrola pamięci podręcznej,,
All Cache,Cała pamięć podręczna,,
No change,Bez zmiany,,
Disable,Wyłączyć,,
Enable,Włączyć,,
Add Design Change,Dodaj zmianę projektu,,
Back,Plecy,,
Delete,Kasować,,
Are you sure?,Jesteś pewny?,,
Save,Zapisać,,
Edit Design Change,Edytuj zmianę projektu,,
New Store Design Change,Zmiana projektu nowego sklepu,,
General Settings,Ustawienia główne,,
Store,Sklep,,
-- Please Select --,-- Proszę wybrać --,,
Custom Design,Projektowanie niestandardowe,,
Date From,"Data, od",,
Date To,Data do,,
Design Change,Zmiana wyglądu,,
General,Generał,,
Cancel,Anuluj,,
Delete %1 '%2',Usuń %1 '%2',,
Delete %1,Usuń %1,,
Block Information,Informacje o bloku,,
Backup Options,Opcje kopii zapasowej,,
Create DB Backup,Utwórz kopię zapasową bazy danych,,
Yes,tak,,
No,Nie,,
Delete Store,Usuń sklep,,
Delete Web Site,Usuń witrynę sieci Web,,
Save Web Site,Zapisz witrynę sieci Web,,
Save Store,Zapisz sklep,,
Save Store View,Zapisz widok sklepu,,
Delete Store View,Usuń widok sklepu,,
Edit Web Site,Edytuj witrynę sieci Web,,
New Web Site,Nowa witryna internetowa,,
Edit Store,Edytuj sklep,,
New Store,Nowy sklep,,
Edit Store View,Edytuj widok sklepu,,
New Store View,Nowy widok sklepu,,
Store Information,Przechowaj informację,,
Web Site,Stronie internetowej,,
Name,Nazwa,,
Code,Kod,,
Root Category,Kategoria główna,,
Default Store View,Domyślny widok sklepu,,
Store View Information,Informacje o magazynie,,
Status,Status,,
Disabled,Niepełnosprawny,,
Enabled,Włączone,,
Sort Order,Sortuj kolejność,,
Web Site Information,Informacje o witrynie sieci Web,,
Default Store,Domyślny Sklep,,
Set as Default,Ustaw jako domyślne,,
Stores,Sklepy,,
Create Website,Utwórz stronę internetową,,
Create Store,Utwórz sklep,,
Create Store View,Utwórz widok sklepu,,
Home,Dom,,
Reset,Nastawić,,
Are you sure you want to do this?,Czy na pewno chcesz to zrobić?,,
Add New Image,Dodaj nowy obraz,,
Export block for grid %1 is not defined,Blok eksportu dla siatki %1 nie jest zdefiniowany,,
Reset Filter,Zresetuj filtr,,
Search,Szukanie,,
Any,Każdy,,
All Countries,Wszystkie kraje,,
From,Od,,
To,Do,,
Date selector,Selektor daty,,
[ deleted ],[usunięto],,
Select All,Zaznacz wszystko,,
 [deleted], [usunięto],,
We couldn't find any records.,Nie mogliśmy znaleźć żadnych zapisów.,,
Add New,Dodaj nowe,,
Invalid export type supplied for grid export block,Nieprawidłowy typ eksportu dostarczany dla bloku eksportu siatki,,
Export,Eksport,,
Please correct the column format and try again.,Proszę poprawić format kolumn i spróbować ponownie.,,
Please select items.,Proszę wybrać elementy.,,
Submit,Zatwierdź,,
Unknown block type,Nieznany typ bloku,,
