Root,Korzeń
Delete,Kasować
Save,Zapisać
Use Config Settings,Użyj ustawień konfiguracyjnych
Use All Available Attributes,Użyj wszystkich dostępnych atrybutów
ID,ID
Name,Nazwa
SKU,SKU
Price,Cena
Position,Pozycja
Add Subcategory,Dodaj podkategorię
Add Root Category,Dodaj kategorię główną
Day,Dzień
Month,Miesiąc
Year,Rok
"<label class=""label""><span>from</span></label>","<label class = ""label""> <span> z </ span> </ label>"
"<label class=""label""><span>to</span></label>","<label class = ""label""> <span> do </ span> </ label>"
[GLOBAL],[ŚWIATOWY]
[WEBSITE],[STRONIE INTERNETOWEJ]
[STORE VIEW],[STORE VIEW]
WYSIWYG Editor,Edytor WYSIWYG
Add Product,Dodaj produkt
label,etykieta
Product Attributes,Cechy produktu
Add New Attribute,Dodaj nowy atrybut
Cancel,Anuluj
Save Attribute,Zapisz atrybut
Save in New Attribute Set,Zapisz w nowym zestawie atrybutów
Enter Name for New Attribute Set,Wpisz nazwę dla nowego zestawu atrybutów
Save and Continue Edit,Zapisz i kontynuuj edycję
Delete Attribute,Usuń atrybut
"Edit Product Attribute ""%1""","Edytuj atrybut produktu ""% 1"""
New Product Attribute,Nowy atrybut produktu
Advanced Attribute Properties,Zaawansowane właściwości atrybutu
Attribute Code,Kod atrybutu
This is used internally. Make sure you don't use spaces or more than %1 symbols.,"To jest używane wewnętrznie. Upewnij się, że nie używasz spacji ani symboli% 1."
Default Value,Domyślna wartość
Unique Value,Unikalna wartość
Unique Value (not shared with other products),Unikalna wartość (nie dzielona z innymi produktami)
Not shared with other products.,Nie jest dzielony z innymi produktami.
Input Validation for Store Owner,Weryfikacja wejściowa dla właściciela sklepu
Add to Column Options,Dodaj do opcji kolumn
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Wybierz ""Tak"", aby dodać ten atrybut do listy opcji kolumn w siatce produktów."
Use in Filter Options,Użyj w opcji filtra
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Wybierz ""Tak"", aby dodać ten atrybut do listy filtrów dostępnych w sieci produktów."
Store View,Widok sklepu
Website,Stronie internetowej
Global,Światowy
Scope,Zakres
Declare attribute value saving scope.,Deklaracja zakresu wartości zapisywania wartości atrybutu.
Storefront Properties,Właściwości sklepu
Use in Search,Użyj w wyszukiwarce
Visible in Advanced Search,Widoczne w wyszukiwaniu zaawansowanym
Comparable on Storefront,Porównywalne na stronie sklepu
Use for Promo Rule Conditions,Użyj do warunków promocji promocji
Enable WYSIWYG,Włącz WYSIWYG
Allow HTML Tags on Storefront,Zezwalaj na tagi HTML na stronie sklepu
Visible on Catalog Pages on Storefront,Widoczne na stronach katalogu na stronie sklepu
Used in Product Listing,Używany w listingu produktów
Depends on design theme.,Zależy od motywu projektu.
Used for Sorting in Product Listing,Używane do sortowania na liście produktów
Media Image,Obraz mediów
Gallery,Galeria
System Properties,Właściwości systemu
No,Nie
Yes,tak
Data Type for Saving in Database,Typ danych do zapisywania w bazie danych
Text,Tekst
Varchar,Varchar
Static,Statyczny
Datetime,Datetime
Decimal,Dziesiętny
Integer,Liczba całkowita
Globally Editable,Na całym świecie można edytować
Attribute Information,Informacje o atrybutach
Properties,Nieruchomości
Manage Labels,Zarządzaj etykietami
Visible,Widoczny
Web Site,Stronie internetowej
Searchable,Można przeszukiwać
Comparable,Porównywalny
Delete Selected Group,Usuń zaznaczoną grupę
Add New,Dodaj nowe
Back,Plecy
Reset,Nastawić
You are about to delete all products in this attribute set. Are you sure you want to do that?,Zamierzasz usunąć wszystkie produkty w tym zestawie atrybutów. Czy na pewno chcesz to zrobić?
New Set Name,Nowa nazwa zestawu
Edit Attribute Set '%1',Edytuj zestaw atrybutów '% 1'
Empty,Pusty
Add Attribute,Dodaj atrybut
Add New Group,Dodaj nową grupę
Add Group,Dodaj grupę
Edit Attribute Set Name,Edytuj nazwę zestawu atrybutów
For internal use,Do użytku wewnętrznego
Based On,Oparte na
Add New Attribute Set,Dodaj nowy zestaw atrybutów
Add Attribute Set,Dodaj zestaw atrybutów
Attribute Sets,Zestawy atrybutów
Close Window,Zamknij okno
New Product,Nowy produkt
Save & Edit,Zapisz i edytuj
Save & New,Zapisz & nowe
Save & Duplicate,Zapisz i zduplikuj
Save & Close,Zapisz i zamknij
Attributes,Atrybuty
Change,Zmiana
Advanced Inventory,Zaawansowane zasoby magazynu
Websites,Strony internetowe
Products Information,Informacje o produkcie
Create Category,Utwórz kategorię
Category Name,Nazwa Kategorii
Parent Category,Kategoria nadrzędna
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Jeśli nie ma niestandardowych kategorii nadrzędnych, użyj domyślnej kategorii nadrzędnej. Możesz zmienić przypisanie kategorii w dowolnym momencie w <a href=""%1"" target=""_blank""> Produkty> Kategorie </a>."
Price Alert Subscriptions,Subskrypcja alertów o cenach
Stock Alert Subscriptions,Zaproszenia na akcje
There are no customers for this alert.,Brak tego klienta.
First Name,Pierwsze imię
Last Name,Nazwisko
Email,E-mail
Subscribe Date,Subskrybuj Data
Last Notified,Ostatnia notyfikacja
Send Count,Wyślij liczbę
New Attribute,Nowy atrybut
Type,Rodzaj
Attribute Set,Zestaw atrybutów
Status,Status
Visibility,Widoczność
Add New Option,Dodaj nową opcję
Import Options,Opcje importu
Use Default,Zastosowanie domyślne
Import,Import
Add New Row,Dodaj nowy wiersz
Delete Row,Usuń wiersz
Tier Pricing,Tier Ceny
Default Price,Domyślna cena
All Websites,Wszystkie witryny internetowe
ALL GROUPS,WSZYSTKIE GRUPY
Add Price,Dodaj cenę
Default Values,Wartości domyślne
Related Products,Produkty powiązane
Up-sells,Up-sells
Cross-sells,Cross-sells
Size for %1,Rozmiar dla% 1
Watermark File for %1,Plik znaku wodnego dla% 1
Position of Watermark for %1,Pozycja znaku wodnego dla% 1
Name in %1,Nazwa w% 1
Quantity,Ilość
Edit,Edytować
Are you sure?,Jesteś pewny?
Change Status,Zmień status
Update Attributes,Zaktualizuj atrybuty
start typing to search category,zacznij wpisywać do kategorii wyszukiwania
New Category,Nowa kategoria
"Images (.gif, .jpg, .png)","Obrazy (.gif, .jpg, .png)"
Add New Images,Dodaj nowe obrazy
Inc. Tax,Inc Podatek
Does this have a weight?,Czy to ma wagę?
Product,Produkt
Notify Low Stock RSS,Powiadamiaj o Low Stock RSS
Low Stock Products,Produkty o niskich zapasach
%1 has reached a quantity of %2.,% 1 osiągnął ilość% 2.
Home,Dom
Go to Home Page,Wróć do strony głównej
Subscribe to RSS Feed,Subskrybuj kanały RSS
Products Comparison List,Porównanie produktów
N/A,Nie dotyczy
AM,RANO
PM,PO POŁUDNIU
-- Please Select --,-- Proszę wybrać --
None,Żaden
New Products from %1,Nowe produkty z% 1
New Products,Nowe Produkty
%1 - Special Products,% 1 - Produkty specjalne
Click for price,Kliknij na cenę
Special Expires On: %1,Specjalne wygaśnie:% 1
Price: %1,Cena:% 1
Special Price: %1,Cena specjalna:% 1
Special Products,Produkty specjalne
Manage Catalog Categories,Zarządzaj katalogami kategorii
Manage Categories,Zarządzaj Kategorie
You deleted the category.,Usunęła kategorię.
Something went wrong while trying to delete the category.,Wystąpił błąd podczas próby usunięcia kategorii.
Categories,Kategorie
Category is not available for requested store.,Kategoria nie jest dostępna dla wybranego sklepu.
There was a category move error. %1,Wystąpił błąd w kategorii. % 1
There was a category move error.,Wystąpił błąd w kategorii.
You moved the category.,Przeniesiono kategorię.
"Attribute ""%1"" is required.","Wymagany jest atrybut ""% 1""."
You saved the category.,Ty zapisałeś kategorię.
Something went wrong while saving the category.,"Coś poszło nie tak, zachowując kategorię."
Please select products for attributes update.,Proszę wybrać produkty do aktualizacji atrybutów.
Please make sure to define SKU values for all processed products.,"Pamiętaj, aby zdefiniować wartości SKU dla wszystkich przetworzonych produktów."
A total of %1 record(s) were updated.,Zaktualizowano łącznie% 1 rekordów.
Something went wrong while updating the product(s) attributes.,Podczas aktualizowania atrybutów produktu wystąpił błąd.
Unable to add attribute,Nie można dodać atrybutu
"Please, specify attributes",Proszę podać atrybuty
Catalog,Katalog
Manage Product Attributes,Zarządzaj atrybutami produktu
We can't delete the attribute.,Nie możemy usunąć atrybutu.
You deleted the product attribute.,Usunął atrybut produktu.
We can't find an attribute to delete.,Nie możemy znaleźć atrybutu do usunięcia.
This attribute no longer exists.,Ten atrybut już nie istnieje.
This attribute cannot be edited.,Nie można edytować tego atrybutu.
Edit Product Attribute,Edytuj atrybut produktu
An attribute set named '%1' already exists.,"Zestaw atrybutów o nazwie ""% 1"" już istnieje."
Something went wrong while saving the attribute.,"Coś poszło nie tak, zachowując atrybut."
