Entity type model '%1' is not found,Nie znaleziono modelu typu entity ' %1'
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Typ typu jednostki musi być wystąpieniem typu \ Magento \ CatalogImportExport \ Model \ Export \ Product \ Type \ AbstractType
There are no product types available for export.,Nie ma dostępnych typów produktów do eksportu.
'Entity type model must be an instance of ' .,"""Typ typu jednostki musi być instancją""."
"Wrong attribute set code ""%1"", please correct it and try again.","Nieprawidłowy kod zestawu atrybutów "" %1"", popraw go i spróbuj ponownie."
"Category ""%1"" has not been created.","Kategoria "" %1"" nie została utworzona."
File directory '%1' is not readable.,Katalog plików ' %1' nie jest czytelny.
File directory '%1' is not writable.,"Katalog plików "" %1"" nie można zapisać."
Value for 'price' sub attribute in 'store' attribute contains incorrect value,"Wartość dla atrybutu ""price"" w atrybucie ""store"" zawiera niepoprawną wartość"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Wartość dla atrybutu ""type"" w atrybucie ""custom_options"" zawiera niepoprawną wartość, akceptowalne wartości to: ""dropdown"", ""checkbox"""
Please enter a value for title.,Wprowadź wartość tytułu.
Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value,"Wartość pod atrybutu ""price"" w atrybucie ""custom_options"" zawiera niepoprawną wartość"
Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value,"Wartość pod atrybutem ""maksymalna liczba znaków"" w atrybucie ""niestandardowy_opcja"" zawiera niepoprawną wartość"
Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value,Wartość pod atrybutu sub order 'sort order' w atrybucie custom_options zawiera niepoprawną wartość
Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value,"Wartość parametru ""value price"" w atrybucie ""custom_options"" zawiera niepoprawną wartość"
This name is already being used for custom option. Please enter a different name.,Ta nazwa jest już używana dla niestandardowej opcji. Wprowadź inną nazwę.
Custom options have different types.,Opcje niestandardowe mają różne typy.
Every option entity must have a parent product entity.,Każda jednostka opcji musi mieć jednostkę produktu nadrzędnego.
Please correct the parameters.,Proszę poprawić parametry.
File '%1' was not found or has read restriction.,Plik ' %1' nie został odnaleziony lub ma ograniczenie odczytu.
