Shopping Cart,Koszyk z zakupami,
Invalid method: %1,Nieprawidłowa metoda: %1,
City,Miasto,
Country,Państwo,
State/Province,Stan/Województwo,
Zip/Postal Code,Kod pocztowy,
My Cart (1 item),Mój koszyk (1 produkt),
My Cart (%1 items),Mój koszyk (%1 produktów),
My Cart,Mój koszyk,
For delivery questions.,Informacje o przesyłce,
Customer is already registered,Użytkownik jest już zarejestrowany,
Your session has expired,Twoja sesja wygasła,
A letter with further instructions will be sent to your email.,Wiadomość z następnymi instrukcjami będzie wysłana na Twojego emaila,
You added %1 to your shopping cart.,Dodałeś %1 do Twojego koszyka,
We can't add this item to your shopping cart right now.,Nie możemy dodać tego do Twojego koszyka w tej chwili,
Out of stock,Brak na stanie,
We can't find the quote item.,Nie możemy znaleźć wyceny elementu,
We cannot configure the product.,Nie możemy skonfigurować produktu,
"You used coupon code ""%1"".","Użyłeś kuponu ""%1"".",
"The coupon code ""%1"" is not valid.","Kod kuponu ""%1"" nie jest poprawny.",
You canceled the coupon code.,Anulowałeś kupon,
We cannot apply the coupon code.,Nie możemy zaakceptować kuponu o podanym kodzie.,
We can't remove the item.,Nie możemy usunąć produktu.,
%1 was updated in your shopping cart.,Dodano produkt %1 to Twojego koszyka.,
We can't update the item right now.,Chwilowo nie możemy uaktualnić produktu.,
We can't update the shopping cart.,Nie możemy uaktualnić koszyka.,
One-page checkout is turned off.,Jednorazowy rachunek jest wyłączony,
Guest checkout is disabled.,Rachunek dla gości jest niedostępny,
Rachunekout,Rachunek,
Page not found.,Strona nie istnieje,
Please agree to all the terms and conditions before placing the order.,Prosimy o wyrażenie zgody na wszystkie warunki przed złożeniem zamówienia.,
Something went wrong while processing your order. Please try again later.,Coś się popsuło w trakcie składania zamówienia. Spróbuj ponownie.,
%1 doesn't extend \Magento\Rachunekout\CustomerData\ItemInterface,%1 nie obejmuje \Magento\Rachunekout\CustomerData\ItemInterface,
Payment Method,Metoda płatności,
Payment Page,Strona płatności,
We can't find the product.,Nie możemy odnaleźć produktu,
We found an invalid request for adding product to quote.,Niepoprawne żądanie dodania wyceny produktu,
The product does not exist.,Produkt nie istnieje,
We don't have some of the products you want.,"Nie mamy niektórych produktów, które zostały przez Ciebie zamówione",
We don't have as many of some products as you want.,"Nie mamy niektórych produktów w wystarczającej ilości, które zostały przez Ciebie zamówione",
Quantity was recalculated from %1 to %2,Wycena została zmieniona z %1 na %2,
We adjusted product quantities to fit the required increments.,Dostosowaliśmy dostosowane ilości produktów do wymaganych kroków.,
This quote item does not exist.,Ta pozycja nie istnieje,
Display number of items in cart,Wyświetl liczbę produktów w koszyku,
Display item quantities,Wyświetl ilość artykułów,
An error occurred on the server. Please try to place the order again.,Wystąpił błąd na serwerze. Spróbuj jeszcze raz.,
Shipping address is not set,Adres dostawy nie jest ustawiony,
Unable to save shipping information. Please check input data.,Nie można zapisać informacji o dostawie. Sprawdź wprowadzone dane.,
"Carrier with such method not found: %1, %2","Przewoźnik nie został znaleziony: %1, %2",
Shipping method is not applicable for empty cart,Opcje dostawy nie są dostępne dla pustego koszyka,
 item,Produkt,
 items,Produkty,
Totals calculation is not applicable to empty cart,Wycena nie jest dostępna dla pustego koszyka,
Invalid data,Niepoprawne dane,
The customer address is not valid.,Adres klienta jest niepoprawny,
