Terms and Conditions,Regulamin
Add New Condition,Dodaj nowy warunek
Save Condition,Zapisz stan
Delete Condition,Usuń warunek
Edit Terms and Conditions,Edytuj Warunki korzystania z usługi
New Terms and Conditions,Nowe Warunki
Terms and Conditions Information,Informacje o Warunkach i Warunkach
Condition Name,Nazwa warunku
Status,Status
Enabled,Włączone
Disabled,Niepełnosprawny
Show Content as,Pokaż zawartość jako
Text,Tekst
HTML,HTML
Applied,Stosowany
Store View,Widok sklepu
Rachunekbox Text,Tekst pola wyboru
Content,Zadowolony
Content Height (css),Wysokość zawartości (css)
Content Height,Wysokość zawartości
ID,ID
Condition,Stan
Sales,Obroty
Rachunekout Conditions,Warunki płatności
Rachunekout Terms and Conditions,Warunki korzystania z usługi Rachunekout
This condition no longer exists.,Ten warunek już nie istnieje.
You deleted the condition.,Usunięto warunek.
Something went wrong  while deleting this condition.,Wystąpił błąd podczas usuwania tego warunku.
Edit Condition,Edytuj warunek
New Condition,nowy warunek
You saved the condition.,Zapisałeś warunek.
Something went wrong while saving this condition.,"Coś poszło nie tak, zachowując ten stan."
Automatically,Automatycznie
Manually,Ręcznie
Please agree to all the terms and conditions before placing the order.,Prosimy o wyrażenie zgody na wszystkie warunki przed złożeniem zamówienia.
Unable to save checkout agreement %1,Nie można zapisać umowy zlecenia %1
Unable to remove checkout agreement %1,Nie można usunąć umowy z kasą %1
"Rachunekout agreement with specified ID ""%1"" not found.","Nie znaleziono umowy z określonym identyfikatorem "" %1""."
Close,Blisko
Terms & Conditions,Zasady i Warunki
Enable Terms and Conditions,Włącz zasady i warunki
