Default Config,Domyślna konfiguracja
Save Config,Zapisz konfigurację
[GLOBAL],[ŚWIATOWY]
[WEBSITE],[STRONIE INTERNETOWEJ]
[STORE VIEW],[STORE VIEW]
Use system value,Użyj wartości systemowej
Use Default,Zastosowanie domyślne
Use Website,Użyj strony WWW
Add,Dodaj
Delete File,Usunąć plik
Search String,Szukana fraza
Design Theme,Motyw projektu
Add \Exception,Dodaj \ wyjątek
-- No Theme --,- Bez motywu -
Enable,Włączyć
Disable,Wyłączyć
Configuration,Konfiguracja
"Class for type ""%1"" was not declared","Klasa dla typu "" %1"" nie została zadeklarowana"
%1 should implement %2, %1 powinien wykonać %2
"We can't save this option because Magento is not installed. To lock this value, enter the command again using the --%1 option.","Nie możemy zapisać tej opcji, ponieważ Magento nie jest zainstalowany. Aby zablokować tę wartość, należy ponownie wprowadzić polecenie za pomocą opcji - %1."
"The value you set has already been locked. To change the value, use the --%1 option.","Ustawiona wartość została już zablokowana. Aby zmienić wartość, użyj opcji - %1."
%1, %1
"Configuration for path: ""%1"" doesn't exist","Konfiguracja ścieżki: "" %1"" nie istnieje"
System,System
You saved the configuration.,Zapisałeś konfigurację.
Something went wrong while saving this configuration:,"Coś poszło nie tak, zachowując tę ​​konfigurację:"
Page not found.,Strona nie znaleziona.
Please specify the admin custom URL.,Podaj niestandardowy adres URL administratora.
Invalid %1. %2,Nieprawidłowy %1.  %2
Value must be a URL or one of placeholders: %1,Wartość musi być adresem URL lub jednym z symboli zastępczych: %1
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Określ adres URL lub ścieżkę, która zaczyna się od symbolu zastępczego: %1, i kończy się ""/""."
%1 An empty value is allowed as well., %1 Opuszcza się również wartość pustą.
Specify a fully qualified URL.,Określ pełny adres URL.
"Selected allowed currency ""%1"" is not available in installed currencies.","Wybrana dopuszczalna waluta "" %1"" nie jest dostępna w zainstalowanych walutach."
"Default display currency ""%1"" is not available in allowed currencies.","Domyślna waluta wyświetlania "" %1"" nie jest dostępna w dozwolonych walutach."
"Sorry, we haven't installed the base currency you selected.","Niestety, nie zainstalowaliśmy wybranej waluty bazowej."
We can't save the Cron expression.,Nie możemy zapisać wyrażenia Cron.
"Sorry, we haven't installed the default display currency you selected.","Niestety, nie zainstalowaliśmy domyślnej waluty wyświetlanej."
