Page not found.,Strona nie znaleziona
Thanks for contacting us with your comments and questions. We'll respond to you very soon.,Dziękujemy za kontakt z nami. Postaramy się odpowiedzieć jak najszybciej.
An error occurred while processing your form. Please try again later.,Wystąpił problem z przetwarzaniem wiadomości. Proszę spróbować ponownie.
Name is missing,Brakuje Nazwy
Comment is missing,Brakuje komentarza
Invalid email address,Niepoprawny adres email
* Required Fields,*Wymagane pola
Write Us,Napisz do nas
Jot us a note and we’ll get back to you as quickly as possible.,"Zanotuj nam notatkę i wrócimy do Ciebie tak szybko, jak to możliwe."
Name,Imię
Email,Email
Phone Number,Numer telefonu
What’s on your mind?,Co masz na myśli?
Submit,Przyślij
Contact Form,Formularz kontaktowy
Name: %name,Imię: %name
Email: %email,Email: %email
Phone Number: %telephone,Numer telefonu: %telephone
Comment: %comment,Komentarz: %comment
Contacts Section,Sekcja kontaktu
Contacts,Kontakty
Contact Us,Kontakt do nas
Enable Contact Us,Aktywny kontakt do nas
Email Options,email opcje
Send Emails To,Wyślij emaila do
Email Sender,Nadawca Email
Email Template,Szablon Email
"Email template chosen based on theme fallback when ""Default"" option is selected.",Domyślny szablon email
