Sign Out,Wyloguj się
Sign In,Zaloguj
You are subscribed to our newsletter.,Subskrybujesz nasz biuletyn.
You aren't subscribed to our newsletter.,Nie subskrybujesz naszego biuletynu.
You have not set a default shipping address.,Nie ustawiono domyślnego adresu wysyłki.
You have not set a default billing address.,Nie ustawiono domyślnego adresu rozliczeniowego.
Address Book,Książka adresowa
Edit Address,Edytuj adres
Add New Address,Dodaj nowy adres
region,region
Create Order,Utwórz zamówienie
Save Customer,Zapisz klienta
Delete Customer,Usuń klienta
Reset Password,Zresetuj hasło
Are you sure you want to revoke the customer's tokens?,Czy na pewno chcesz wycofać żetony klienta?
Force Sign-In,Wymuszaj zalogowanie
New Customer,Nowy klient
Save and Continue Edit,Zapisz i kontynuuj edycję
Back,Plecy
Please select,Proszę wybrać
Reset,Nastawić
ID,ID
Product,Produkt
SKU,SKU
Quantity,Ilość
Price,Cena
Total,Całkowity
Action,Akcja
Configure,Konfiguruj
Delete,Kasować
Shopping Cart from %1,Koszyk od %1
Newsletter,Biuletyn
Newsletter Information,Informacje o newsletterze
Subscribed to Newsletter,Zaprenumerowany Newsletter
Last Date Subscribed,Data ostatniej subskrypcji
Last Date Unsubscribed,Data ostatniej subskrypcji
No Newsletter Found,Nie znaleziono żadnego biuletynu
Start date,Data rozpoczęcia
End Date,Data końcowa
Receive Date,Data otrzymania
Subject,Przedmiot
Status,Status
Sent,Wysłano
Cancel,Anuluj
Not Sent,Nie wysłane
Sending,Wysyłanie
Paused,Wstrzymano
View,Widok
Unknown,Nieznany
Order,Zamówienie
Purchased,Zakupione
Bill-to Name,Bill-to nazwisko
Ship-to Name,Nazwa przewoźnika
Order Total,Suma zamówienia
Purchase Point,Punkt zakupu
Customer View,Widok klienta
There are no items in customer's shopping cart.,W koszyku klienta nie ma żadnych elementów.
Qty,Ilość
Confirmed,Zatwardziały
Confirmation Required,Wymagane Potwierdzenie
Confirmation Not Required,Potwierdzenie nie jest wymagane
Indeterminate,Nieokreślony
The customer does not have default billing address.,Klient nie ma domyślnego adresu rozliczeniowego.
Offline,Offline
Online,Online
Never,Nigdy
Unlocked,Odblokowany
Locked,Zablokowany
Deleted Stores,Usunięte Sklepy
Add Locale,Dodaj lokalizację
Add Date,Dodaj datę
Days in Wish List,Dni w liście życzeń
Unlock,Odblokować
No,Nie
Yes,tak
Delete File,Usunąć plik
Download,Pobieranie
Delete Image,Usuń zdjęcie
View Full Size,Zobacz pełny rozmiar
All countries,Wszystkie kraje
Customer Groups,Grupy klientów
Add New Customer Group,Dodaj nową grupę klientów
Save Customer Group,Zapisz grupę klientów
Delete Customer Group,Usuń grupę klientów
New Customer Group,Nowa grupa klientów
"Edit Customer Group ""%1""","Edytuj grupę klientów "" %1"""
Group Information,Informacje o grupie
Group Name,Nazwa grupy
Maximum length must be less then %1 characters.,Maksymalna długość musi wynosić mniej niż %1 znaki.
Tax Class,Klasa podatkowa
The customer is now assigned to Customer Group %s.,Klient jest teraz przypisany do grupy klientów% s.
Would you like to change the Customer Group for this order?,Czy chcesz zmienić grupę klientów dla tego zamówienia?
The VAT ID is valid.,Identyfikator VAT jest ważny.
The VAT ID entered (%s) is not a valid VAT ID.,Podany identyfikator VAT (% s) nie jest prawidłowym identyfikatorem VAT.
The VAT ID is valid. The current Customer Group will be used.,Identyfikator VAT jest ważny. Zostanie użyta bieżąca grupa klientów.
