Add New Template,Dodaj nowy szablon
Transactional Emails,Wiadomości e-mail transakcyjne
Back,Plecy
Reset,Nastawić
Delete Template,Usuń szablon
Convert to Plain Text,Konwertuj na zwykły tekst
Return Html Version,Zwróć wersję HTML
Preview Template,Podgląd szablonu
Save Template,Zapisz szablon
Load Template,Załaduj szablon
Edit Email Template,Edytuj szablon wiadomości e-mail
New Email Template,Nowy szablon wiadomości e-mail
Default Config,Domyślna konfiguracja
Template Information,Informacje o szablonie
Currently Used For,Obecnie używany dla
Template Name,Nazwa szablonu
Template Subject,Temat szablonu
Insert Variable...,Wstaw zmienną ...
Template Content,Zawartość szablonu
Template Styles,Style szablonów
Preview,Zapowiedź
Unknown,Nieznany
You deleted the email template.,Usunąłeś szablon wiadomości e-mail.
The email template is currently being used.,Szablon wiadomości e-mail jest obecnie używany.
We can't delete email template data right now. Please review log and try again.,Nie możemy teraz usunąć danych szablonu wiadomości e-mail. Sprawdź rejestr i spróbuj ponownie.
We can't find an email template to delete.,Nie możemy znaleźć szablonu wiadomości e-mail do usunięcia.
Edit Template,Edytuj szablon
Edit System Template,Edytuj szablon systemu
New Template,Nowy szablon
New System Template,Nowy szablon systemu
Email Templates,Szablony wiadomości e-mail
Email Preview,Podgląd e-mail
An error occurred. The email template can not be opened for preview.,Wystąpił błąd. Nie można otworzyć szablonu wiadomości e-mail do podglądu.
This email template no longer exists.,Ten szablon e-mail już nie istnieje.
You saved the email template.,Zapisałeś szablon wiadomości e-mail.
Area is already set,Obszar jest już ustawiony
Design config must have area and store.,Konfiguracja projektu musi mieć obszar i przechowywać.
Base Unsecure URL,Base Unsecure URL
Base Secure URL,Podstawowy bezpieczny adres URL
General Contact Name,Ogólna nazwa kontaktu
General Contact Email,Ogólny adres e-mail kontaktu
Sales Representative Contact Name,Imię i nazwisko przedstawiciela handlowego
Sales Representative Contact Email,Kontakt z przedstawicielem handlowym
Custom1 Contact Name,Nazwa kontaktu Custom1
Custom1 Contact Email,Adres e-mail kontaktu Custom1
Custom2 Contact Name,Nazwa kontaktu Custom2
Custom2 Contact Email,Adres e-mail kontaktu Custom2
Store Name,Nazwa sklepu
Store Phone Number,Zapisz numer telefonu
Store Hours,Godziny pracy
Country,Kraj
Region/State,Region / państwo
Zip/Postal Code,Kod pocztowy
City,Miasto
Street Address 1,Ulica 1
Street Address 2,Adres ul. 2
Store Contact Information,Przechowuj informacje kontaktowe
%1, %1
Template Variables,Zmienne szablonów
Please enter a template name.,Wprowadź nazwę szablonu.
Duplicate Of Template Name,Duplikat nazwy szablonu
Invalid transactional email code: %1,Nieprawidłowy kod e-mail transakcyjny: %1
"Requested invalid store ""%1""","Żądany nieprawidłowy magazyn "" %1"""
"""file"" parameter must be specified","Parametr ""plik"" musi być określony"
Contents of %s could not be loaded or is empty,Nie można załadować zawartości% s lub jest pusta
"""file"" parameter must be specified and must not be empty","Parametr ""plik"" musi być określony i nie może być pusty"
Design params must be set before calling this method,Przed wywołaniem tej metody należy ustawić parametry projektu
<pre> %1 </pre>,<pre> %1 </ pre>
CSS inlining error:,Błąd wstawiania CSS:
Error filtering template: %s,Szablon filtrowania błędów:% s
"We're sorry, an error has occurred while generating this content.","Przepraszamy, wystąpił błąd podczas generowania tej treści."
Invalid sender data,Nieprawidłowe dane nadawcy
Title,Tytuł
Load default template,Załaduj domyślny szablon
Template,Szablon
Are you sure you want to strip tags?,Czy na pewno chcesz usunąć tagi?
Are you sure you want to delete this template?,Czy na pewno chcesz usunąć ten szablon?
The template did not load. Please review the log for details.,"Szablon się nie załadował. Przejrzyj dziennik, aby poznać szczegóły."
Footer,Stopka
"Thank you, %store_name","Dziękuję,% store_name"
Header,nagłówek
Communications,Komunikacja
No Templates Found,Nie znaleziono szablonów
ID,ID
Added,Dodawanie
Updated,Zaktualizowano
Subject,Przedmiot
Template Type,Typ szablonu
Action,Akcja
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Dozwolone typy plików: jpg, jpeg, gif, png. Aby zoptymalizować logo wyświetlaczy o wysokiej rozdzielczości, prześlij obraz o 3x normalnym rozmiarze, a następnie określ 1x wymiary w polach szerokości / wysokości poniżej."
Logo Image,Obraz logo
Logo Image Alt,Obraz logo Alt
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Konieczne tylko, jeśli zdjęcie zostało przesłane powyżej. Wprowadź liczbę pikseli, bez dodawania ""px""."
Logo Width,Szerokość logo
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Konieczne tylko, jeśli zdjęcie zostało przesłane powyżej. Wprowadź wysokość obrazu w pikselach bez dodawania ""px""."
Logo Height,Wysokość logo
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Wybrany szablon wiadomości e-mail oparty na zastępstwie tematu, po wybraniu opcji ""Domyślne""."
Header Template,Szablon nagłówka
Footer Template,Szablon stopki
