Export,Eksport
Export Settings,Ustawienia eksportu
Entity Type,Typ encji
Export File Format,Format pliku eksportu
Fields Enclosure,Obudowa Fields
From,Od
To,Do
We can't filter an attribute with no attribute options.,Nie możemy filtrować atrybutu bez opcji atrybutów.
Fixed Price: From,Naprawiono cenę: od
Exclude,Wykluczać
Attribute Label,Etykieta atrybutu
Attribute Code,Kod atrybutu
Filter,Filtr
Unknown attribute filter type,Nieznany typ filtra atrybutu
Download,Pobieranie
Rachunek Data,Sprawdź dane
Import,Import
Import Settings,Importuj ustawienia
Import Behavior,Zachowanie importowe
 , 
Stop on Error,Zatrzymaj przy błędzie
Skip error entries,Pomiń wpisy o błędach
Allowed Errors Count,Dozwolone błędy Count
Please specify number of errors to halt import process,"Określ liczbę błędów, aby zatrzymać proces importowania"
Field separator,Separator pól
Multiple value separator,Wiele separatora wartości
Fields enclosure,Obudowa pól
File to Import,Plik do zaimportowania
Select File to Import,Wybierz Plik do importu
Images File Directory,Katalog plików obrazów
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","""Dla typu"" ""Lokalny serwer"" ""użyj względnej ścieżki do instalacji Magento,                                 na przykład var / export, var / import, var / export / some / dir """
Download Sample File,Pobierz przykładowy plik
Please correct the data sent value.,Popraw dane przesłane wartości.
Import/Export,Import Eksport
History,Historia
Import History,Importuj historię
Import history,Importuj historię
There is no sample file for this entity.,Nie ma przykładowego pliku dla tego obiektu.
Status,Status
Maximum error count has been reached or system error is occurred!,Osiągnięto maksymalną liczbę błędów lub wystąpił błąd systemu!
Import successfully done,Import został pomyślnie zakończony
"Sorry, but the data is invalid or the file is not uploaded.","Przepraszamy, ale dane są nieprawidłowe lub plik nie został przesłany."
The file was not uploaded.,Plik nie został przesłany.
Data validation failed. Please fix the following errors and upload the file again.,Sprawdzanie danych nie powiodło się. Napraw poniższe błędy i prześlij plik ponownie.
"Rachuneked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Zaznaczone wiersze: %1, zaznaczone obiekty: %2, nieprawidłowe wiersze: %3, błędy całkowite: %4"
This file is empty. Please try another one.,Ten plik jest pusty. Proszę spróbować innego.
