Integrations,Integracje
Add New Integration,Dodaj nową integrację
API,API
Save,Zapisać
Save & Activate,Zapisz i aktywuj
New Integration,Nowa integracja
Edit Integration '%1',"Edytuj integrację "" %1"""
Integration Info,Informacje o integracji
General,Generał
Name,Nazwa
Email,E-mail
Callback URL,Adres URL wywołania zwrotnego
Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.,"Wprowadź adres URL, w którym dane uwierzytelniające Oauth mogą być wysyłane podczas używania Oauth do wymiany znaczników. Zdecydowanie zalecamy korzystanie z https: //."
Identity link URL,Link do URL-a tożsamości
URL to redirect user to link their 3rd party account with this Magento integration credentials.,"Adres URL, aby przekierować użytkownika, aby połączyć jego konto firm trzecich z tymi danymi uwierzytelniającymi integrację Magento."
Current User Identity Verification,Aktualna weryfikacja tożsamości użytkownika
Your Password,Twoje hasło
Integration Details,Szczegóły integracji
Basic Settings,Podstawowe ustawienia
Integration Tokens for Extensions,Tokeny integracyjne dla rozszerzeń
Consumer Key,Klucz klienta
Consumer Secret,Sekret klienta
Access Token,Token dostępu
Access Token Secret,Uzyskaj dostęp do tajnego klucza tokena
Uninstall the extension to remove this integration,"Odinstaluj rozszerzenie, aby usunąć tę integrację"
Remove,Usunąć
View,Widok
Edit,Edytować
Activate,Aktywuj
Reauthorize,Ponownie autoryzuj
Integration not secure,Integracja nie jest bezpieczna
Uninstall the extension to remove integration '%1'.,"Odinstaluj rozszerzenie, aby usunąć integrację "" %1""."
This integration no longer exists.,Ta integracja już nie istnieje.
The integration '%1' has been deleted.,"Integracja "" %1"" została usunięta."
Integration ID is not specified or is invalid.,Identyfikator integracji nie jest określony lub jest nieprawidłowy.
Internal error. Check exception log for details.,"Błąd wewnętrzny. Sprawdź dziennik wyjątków, aby poznać szczegóły."
"View ""%1"" Integration","Zobacz integrację "" %1"""
"Edit ""%1"" Integration","Edytuj integrację "" %1"""
Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information,Ostrzeżenie! Integracje nie używające protokołu HTTPS są niepewne i potencjalnie mogą ujawnić prywatne lub osobiste informacje umożliwiające identyfikację
