"To see product price, add this item to your cart. You can always remove it later.","Aby zobaczyć cenę produktu, dodaj ten produkt do koszyka. Zawsze możesz go usunąć później."
See price before order confirmation.,Zobacz cenę przed potwierdzeniem zamówienia.
On Gesture,Na Gest
In Cart,W wózku
Before Order Confirmation,Przed potwierdzeniem zamówienia
Use config,Użyj config
Click for price,Kliknij cenę
What's this?,Co to jest?
Order total will be displayed before you submit the order,Suma zamówienia zostanie wyświetlona przed złożeniem zamówienia
You will see the order total before you submit the order.,Zobaczysz sumę zamówienia przed złożeniem zamówienia.
Price,Cena
Actual Price,Aktualna cena
Add to Cart,Dodaj do koszyka
Minimum Advertised Price,Minimalna reklamowana cena
Enable MAP,Włącz MAP
Display Actual Price,Wyświetl aktualną cenę
Default Popup Text Message,Domyślny wyskakujący komunikat tekstowy
"Default ""What's This"" Text Message","Domyślny komunikat ""What's This"""
