Delete Selected Problems,Usuń wybrane problemy
Unsubscribe Selected,Anuluj subskrypcję
Back,Plecy
Reset,Nastawić
Preview Template,Podgląd szablonu
Save Newsletter,Zapisz biuletyn
Save and Resume,Zapisz i wznów
View Newsletter,Zobacz biuletyn
Edit Newsletter,Edytuj biuletyn
Queue Information,Informacje o kolejce
Queue Date Start,Kolejka Data rozpoczęcia
Subscribers From,Subskrybenci od
Subject,Przedmiot
Sender Name,Imię nadawcy
Sender Email,E-mail nadawcy
Message,Wiadomość
Newsletter Styles,Style newsletterów
Start,Początek
Pause,Pauza
Do you really want to cancel the queue?,Czy na pewno chcesz anulować kolejkę?
Cancel,Anuluj
Resume,Wznawianie
Preview,Zapowiedź
Add New Template,Dodaj nowy szablon
Newsletter Templates,Szablony biuletynu
Convert to Plain Text,Konwertuj na zwykły tekst
Return HTML Version,Zwróć wersję HTML
Delete Template,Usuń szablon
Save As,Zapisz jako
Save Template,Zapisz szablon
Edit Newsletter Template,Edytuj szablon biuletynu
New Newsletter Template,Nowy szablon biuletynu
Template Information,Informacje o szablonie
Template Name,Nazwa szablonu
Template Subject,Temat szablonu
Template Content,Zawartość szablonu
Template Styles,Style szablonów
No Templates Found,Nie znaleziono szablonów
ID,ID
Template,Szablon
Added,Dodawanie
Updated,Zaktualizowano
Sender,Nadawca
Template Type,Typ szablonu
Action,Akcja
Queue Newsletter,Kolejny newsletter
We unsubscribed the people you identified.,"Anulowaliśmy subskrypcję osób, które zidentyfikowałeś."
The problems you identified have been deleted.,Zidentyfikowane problemy zostały usunięte.
Newsletter Problems Report,Biuletyn Raport o problemach
Newsletter Problem Reports,Biuletyn Zgłoszenia problemów
Newsletter Queue,Kolejka biuletynu
Edit Queue,Edytuj kolejkę
Please correct the newsletter template and try again.,Popraw szablon biuletynu i spróbuj ponownie.
You saved the newsletter queue.,Zapisałeś kolejkę do biuletynu.
Newsletter Subscribers,Subskrybenci biuletynu
Newsletter,Biuletyn
Subscribers,Subskrybenci
Please select one or more subscribers.,Wybierz jednego lub więcej subskrybentów.
Total of %1 record(s) were deleted.,Suma %1 rekordów została usunięta.
