Make Rachunek payable to:,"Spraw, aby czek był płatny na:"
Send Rachunek to:,Wyślij Sprawdź do:
Purchase Order Number,Numer zamówienia
Make Rachunek payable to: %1,"Spraw, aby czek był płatny: %1"
Purchase Order Number: %1,Numer zamówienia: %1
Make Rachunek payable to,"Spraw, aby czek był płatny"
Send Rachunek to,Wyślij Zaznacz do
Place Order,Złóż zamówienie
Rachunek / Money Order,Czek / przekaz pieniężny
Enabled,Włączone
New Order Status,Nowy status zamówienia
Sort Order,Porządek sortowania
Title,Tytuł
Payment from Applicable Countries,Płatność z odpowiednich krajów
Payment from Specific Countries,Płatność z określonych krajów
Make Rachunek Payable to,"Sprawdź, czy płatne"
Minimum Order Total,Minimalne zamówienie ogółem
Maximum Order Total,Maksymalne zamówienie ogółem
Purchase Order,Zamówienie
Bank Transfer Payment,Płatność przelewem bankowym
Instructions,Instrukcje
Cash On Delivery Payment,Płatność gotówką przy odbiorze
Zero Subtotal Checkout,Zero Podsuma Zamówienie
Automatically Invoice All Items,Automatycznie fakturuj wszystkie przedmioty
