"
                    <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’ s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                ","
                    <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                "
payflowpro,Payflow Pro
Billing Agreements,Umowy billingowe
ID,ID
Email,E-mail
First Name,Pierwsze imię
Last Name,Nazwisko
Reference ID,Numer referencyjny
Status,Status
Created,Stworzony
N/A,Nie dotyczy
Updated,Zaktualizowano
Back,Plecy
Are you sure you want to do this?,Czy na pewno chcesz to zrobić?
Cancel,Anuluj
Billing Agreement #%1,Umowa rozliczeniowa # %1
General Information,Informacje ogólne
Related Orders,Powiązane zlecenia
Order,Zamówienie
Purchased,Zakupione
Bill-to Name,Nazwa rachunku
Ship-to Name,Nazwa wysyłki
Order Total,Suma zamówienia
Purchase Point,Punkt zakupu
Billing Agreement View,Widok umowy rozliczeniowej
View Transaction Details,Wyświetl szczegóły transakcji
Reference Information,Informacje referencyjne
Transaction Information,Informacje o transakcji
PayPal Fee Information,Informacje o opłatach PayPal
PayPal Settlement Reports,Raporty rozliczeniowe PayPal
We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?,"Łączymy się z serwerem PayPal SFTP w celu pobrania nowych raportów. Jesteś pewien, że chcesz kontynuować?"
Fetch Updates,Pobierz aktualizacje
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Wsparcie
Configure,Skonfiguruj
Close,Blisko
Learn More,Ucz się więcej
View Demo,Wyświetl prezentację
See terms,Zobacz warunki
You will be redirected to the PayPal website.,Zostaniesz przekierowany na stronę PayPal.
You will be redirected to the PayPal website when you place an order.,Po złożeniu zamówienia zostaniesz przekierowany na stronę PayPal.
Incl. Tax,Incl. Podatek
Billing Information,Informacje rozliczeniowe
Shipping Information,informacje wysyłkowe
Invalid block type,Niepoprawny typ bloku
Please specify the correct billing agreement ID and try again.,Podaj prawidłowy identyfikator umowy rozliczeniowej i spróbuj ponownie.
You canceled the billing agreement.,Anulowałeś umowę rozliczeniową.
We can't cancel the billing agreement.,Nie możemy anulować umowy rozliczeniowej.
You deleted the billing agreement.,Usunąłeś umowę rozliczeniową.
We can't delete the billing agreement.,Nie możemy usunąć umowy rozliczeniowej.
Reports,Raporty
Sales,Obroty
View Transaction,Wyświetl transakcję
We found nothing to fetch because of an empty configuration.,Nie znaleźliśmy niczego do pobrania z powodu pustej konfiguracji.
"We fetched %1 report rows from ""%2@%3.""","Pobrano %1 raportu wierszy od "" %2 @ %3""."
"We can't fetch reports from ""%1@%2.""","Nie możemy pobrać raportów z "" %1 @ %2""."
"The billing agreement ""%1"" has been canceled.","Umowa rozliczeniowa "" %1"" została anulowana."
"The billing agreement ""%1"" has been created.","Umowa rozliczeniowa "" %1"" została utworzona."
We couldn't finish the billing agreement wizard.,Nie możemy ukończyć kreatora umów rozliczeniowych.
We can't start the billing agreement wizard.,Nie możemy uruchomić kreatora umów rozliczeniowych.
Billing Agreement # %1,Umowa rozliczeniowa # %1
We can't initialize Express Checkout.,Nie możemy zainicjować Express Checkout.
PayPal Express Checkout Token does not exist.,Token realizacji transakcji PayPal Express nie istnieje.
A wrong PayPal Express Checkout Token is specified.,Podano zły token ekspresowego do kasy PayPal Express.
Express Checkout and Order have been canceled.,Ekspresowa realizacja transakcji i zamówienie zostały anulowane.
Express Checkout has been canceled.,Ekspresowa realizacja transakcji została anulowana.
Unable to cancel Express Checkout,Nie można anulować ekspresowej realizacji transakcji
Please agree to all the terms and conditions before placing the order.,Wyraź zgodę na wszystkie warunki przed złożeniem zamówienia.
We can't place the order.,Nie możemy złożyć zamówienia.
We can't process Express Checkout approval.,Nie możemy przetworzyć zgody na ekspresową realizację transakcji.
We can't initialize Express Checkout review.,Nie możemy zainicjować recenzji Express Checkout.
We can't update shipping method.,Nie możemy zaktualizować metody wysyłki.
We can't start Express Checkout.,Nie możemy rozpocząć ekspresowej realizacji transakcji.
"To check out, please sign in with your email address.","Aby się wylogować, zaloguj się przy użyciu swojego adresu e-mail."
"Sorry, but something went wrong","Przepraszamy, ale coś poszło nie tak"
Your payment has been declined. Please try again.,Twoja płatność została odrzucona. Proszę spróbuj ponownie.
Requested payment method does not match with order.,Żądana metoda płatności nie jest zgodna z zamówieniem.
Would you like to sign a billing agreement to streamline further purchases with PayPal?,"Czy chcesz podpisać umowę rozliczeniową, aby usprawnić dalsze zakupy w systemie PayPal?"
"Error processing payment, please try again later.",Podczas przetwarzania płatności wystąpił błąd. Spróbuj ponownie później.
Payment Gateway is unreachable at the moment. Please use another payment option.,Bramka płatności jest w tej chwili niedostępna. Użyj innej opcji płatności.
PayPal response hasn't required fields.,Odpowiedź PayPal nie wymaga pól.
Something went wrong while processing your order.,Coś poszło nie tak podczas przetwarzania Twojego zamówienia.
PayPal gateway has rejected request. %1,Brama PayPal odrzuciła prośbę.  %1
The PayPal gateway rejected the request. %1,Bramka PayPal odrzuciła żądanie.  %1
I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.,"Przykro mi - ale nie mogliśmy przetworzyć Twojej płatności. Wypróbuj inną metodę płatności lub skontaktuj się z nami, abyśmy mogli Ci pomóc."
I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.,"Przykro mi - ale nie jesteśmy w stanie ukończyć transakcji. Skontaktuj się z nami, abyśmy mogli Ci pomóc."
"A match of the Shipping Address City, State, and Postal Code failed.","Nie udało się dopasować adresu dostawy Miasto, Państwo i Kod pocztowy."
The payment method code is not set.,Kod metody płatności nie jest ustawiony.
The reference ID is not set.,Identyfikator referencyjny nie jest ustawiony.
Unable to save Billing Agreement:,Nie można zapisać umowy rozliczeniowej:
Active,Aktywny
Canceled,Odwołany
The customer ID is not set.,Identyfikator klienta nie jest ustawiony.
The Billing Agreement status is not set.,Status umowy rozliczeniowej nie jest ustawiony.
The PayPal certificate does not exist.,Certyfikat PayPal nie istnieje.
We prefer PayPal (150 X 60),Preferujemy PayPal (150 X 60)
We prefer PayPal (150 X 40),Preferujemy PayPal (150 X 40)
Now accepting PayPal (150 X 60),Teraz akceptujesz PayPal (150 X 60)
Now accepting PayPal (150 X 40),Teraz akceptujesz PayPal (150 X 40)
Payments by PayPal (150 X 60),Płatności przez PayPal (150 X 60)
Payments by PayPal (150 X 40),Płatności przez PayPal (150 X 40)
Shop now using (150 X 60),Kup teraz używając (150 X 60)
Shop now using (150 X 40),Kup teraz używając (150 X 40)
Dynamic,Dynamiczny
Static,Statyczny
Shortcut,Skrót
Acceptance Mark Image,Obraz znaku akceptacji
Authorization,Upoważnienie
Sale,Sprzedaż
Yes,tak
No,Nie
For Virtual Quotes Only,Tylko dla Virtual Quotes
Auto,Automatyczny
Ask Customer,Zapytaj klienta
Never,Nigdy
IPN (Instant Payment Notification) Only,IPN (natychmiastowe powiadomienie o płatności)
API Signature,Podpis API
API Certificate,Certyfikat API
The ordering amount of %1 is pending approval on the payment gateway.,Kwota zamówienia %1 oczekuje na zatwierdzenie w bramce płatności.
Ordered amount of %1,Zamówiona kwota %1
We'll authorize the amount of %1 as soon as the payment gateway approves it.,Autoryzujemy kwotę %1 zaraz po zatwierdzeniu bramki płatności.
The authorized amount is %1.,Autoryzowana kwota to %1.
The maximum number of child authorizations is reached.,Osiągnięto maksymalną liczbę autoryzacji podrzędnych.
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal nie może realizować zamówień z zerowym saldem należnym. Aby dokończyć zakup, przejdź przez standardowy proces realizacji transakcji."
A payer is not identified.,Płatnik nie jest zidentyfikowany.
Cannot get secure form URL from PayPal,Nie można uzyskać bezpiecznego adresu URL z PayPal
Last Transaction ID,Ostatni identyfikator transakcji
This customer didn't include a confirmed address.,Ten klient nie podał potwierdzonego adresu.
The payment is authorized but not settled.,"Płatność jest autoryzowana, ale nie rozliczana."
The payment eRachunek is not cleared.,Płatność eRachunek nie została wyczyszczona.
The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.,Sprzedawca ma konto inne niż USA i nie ma mechanizmu wypłaty.
The payment currency doesn't match any of the merchant's balances currency.,Waluta płatności nie pasuje do żadnej z walut salda kupca.
The payment is pending while it is being reviewed by PayPal for risk.,"Płatność jest w toku, podczas gdy jest ona sprawdzana przez firmę PayPal pod kątem ryzyka."
The payment is pending because it was made to an email address that is not yet registered or confirmed.,"Płatność jest oczekująca, ponieważ została dokonana na adres e-mail, który nie został jeszcze zarejestrowany lub potwierdzony."
The merchant account is not yet verified.,Konto sprzedawcy nie zostało jeszcze zweryfikowane.
The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.,"Płatność została dokonana za pomocą karty kredytowej. Aby otrzymać środki, akceptant musi zaktualizować konto do statusu Biznes lub Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Przepraszamy, ale coś poszło nie tak. Skontaktuj się z obsługą klienta PayPal."
A reversal has occurred on this transaction due to a chargeback by your customer.,Wystąpiło odwrócenie tej transakcji z powodu obciążenia zwrotnego przez klienta.
A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.,"Wystąpiło odwrócenie tej transakcji, ponieważ klient uruchomił gwarancję zwrotu pieniędzy."
A reversal has occurred on this transaction due to a complaint about the transaction from your customer.,Wystąpiło odwrócenie tej transakcji z powodu skargi dotyczącej transakcji od klienta.
A reversal has occurred on this transaction because you have given the customer a refund.,"Wystąpiło odwrócenie tej transakcji, ponieważ dałeś klientowi zwrot pieniędzy."
Reversal of an adjustment.,Odwrócenie regulacji.
Transaction reversal due to fraud detected by PayPal administrators.,Zamiana transakcji spowodowana oszustwami wykrytymi przez administratorów PayPal.
Transaction reversal by PayPal administrators.,Odwracanie transakcji przez administratorów PayPal.
Reimbursement for a chargeback.,Zwrot kosztów za obciążenie zwrotne.
Settlement of a chargeback.,Uregulowanie obciążenia zwrotnego.
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,W przypadku tej transakcji wystąpiło odwrócenie z powodu sporu dotyczącego klienta podejrzewającego nieautoryzowaną próbę sfałszowania.
Buyer claims that he did not receive goods or service.,"Kupujący twierdzi, że nie otrzymał towarów lub usług."
Buyer claims that the goods or service received differ from merchant’s description of the goods or service.,"Kupujący twierdzi, że otrzymane towary lub usługi różnią się od opisu towarów lub usługi przez sprzedawcę."
Buyer claims that he/she did not authorize transaction.,"Kupujący twierdzi, że nie autoryzował transakcji."
A case that has been resolved and close requires a reimbursement.,"Sprawa, która została rozwiązana i zamknięta, wymaga zwrotu pieniędzy."
Buyer claims that a possible duplicate payment was made to the merchant.,"Kupujący twierdzi, że potencjalna duplikacja płatności została dokonana u sprzedawcy."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Kupujący twierdzi, że otrzymany towar jest niezadowalający, wadliwy lub uszkodzony."
Unknown reason. Please contact PayPal customer service.,Nieznany powód. Skontaktuj się z obsługą klienta PayPal.
Payer ID,Identyfikator płatnika
Payer Email,E-mail płatnika
Payer Status,Status płatnika
Payer Address ID,Identyfikator adresu płatnika
Payer Address Status,Status adresu płatnika
Merchant Protection Eligibility,Kryteria ochrony sprzedawcy
Triggered Fraud Filters,Wywoływane filtry oszustw
Last Correlation ID,Ostatni identyfikator korelacji
Address Verification System Response,Odpowiedź systemu weryfikacji
CVV2 Rachunek Result by PayPal,CVV2 Sprawdź wynik przez PayPal
AVS Street Match,AVS Street Match
AVS zip,Zip AVS
International AVS response,Międzynarodowa odpowiedź AVS
Buyer's Tax ID,Identyfikator podatkowy kupującego
Buyer's Tax ID Type,Rodzaj identyfikacji podatkowej kupującego
Chargeback,Obciążenie zwrotne
Complaint,Skarga
Dispute,Spierać się
Matched Address only (no ZIP),Tylko dopasowany adres (bez ZIP)
Matched Address only (no ZIP) International,Tylko dopasowany adres (bez ZIP) Międzynarodowy
No Details matched,Nie Dopasowano danych
No Details matched. International,Nie Dopasowano danych. Międzynarodowy
Exact Match.,Dokładne dopasowanie.
Exact Match. Address and Postal Code. International,Dokładne dopasowanie. Adres i kod pocztowy. Międzynarodowy
Exact Match. Address and Postal Code. UK-specific,Dokładne dopasowanie. Adres i kod pocztowy. W Wielkiej Brytanii
N/A. Not allowed for MOTO (Internet/Phone) transactions,Nie dotyczy. Niedozwolone dla transakcji MOTO (Internet / Telefon)
N/A. Global Unavailable,Nie dotyczy. Globalny Niedostępny
N/A. International Unavailable,Nie dotyczy. Międzynarodowe Niedostępne
Matched five-digit ZIP only (no Address),Pasujące pięciocyfrowe ZIP (bez adresu)
Matched Postal Code only (no Address),Tylko dopasowany kod pocztowy (brak adresu)
N/A. Retry,Nie dotyczy. Spróbować ponownie
N/A. Service not Supported,Nie dotyczy. Usługa nie jest obsługiwana
N/A. Unavailable,Nie dotyczy. Niedostępne
Matched whole nine-digit ZIP (no Address),Dopasowany cały dziewięciocyfrowy kod pocztowy (brak adresu)
Yes. Matched Address and five-digit ZIP,Tak. Dopasowany adres i pięciocyfrowy kod pocztowy
All the address information matched,Wszystkie informacje adresowe pasują
None of the address information matched,Żadna informacja adresowa nie pasowała
Part of the address information matched,Część dopasowanych informacji adresowych
N/A. The merchant did not provide AVS information,Nie dotyczy. Sprzedawca nie dostarczył informacji o AVS
"N/A. Address not checked, or acquirer had no response. Service not available",Nie dotyczy. Adres nie został sprawdzony lub agent nie miał odpowiedzi. Usługa niedostępna
Matched (CVV2CSC),Dopasowany (CVV2CSC)
No match,Nie pasuje
N/A. Not processed,Nie dotyczy. Nieprzetworzony
N/A. Service not supported,Nie dotyczy. Usługa nie jest obsługiwana
N/A. Service not available,Nie dotyczy. Usługa niedostępna
N/A. No response,Nie dotyczy. Brak odpowiedzi
Matched (CVV2),Dopasowany (CVV2)
