Not you?,Nie ty?
Your shopping cart has been updated with new prices.,Twój koszyk został zaktualizowany o nowe ceny.
"Welcome, %1!","Witaj, %1!"
We cannot load the configuration from file %1.,Nie możemy załadować konfiguracji z pliku %1.
"Method ""%1"" is not defined in ""%2""","Metoda "" %1"" nie jest zdefiniowana w "" %2"""
"To check out, please sign in using your email address.","Aby się wylogować, zaloguj się, używając swojego adresu e-mail."
Remember Me,Zapamiętaj mnie
What's this?,Co to jest?
Rachunek &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.,"Sprawdź & quot; Zapamiętaj mnie & quot; aby uzyskać dostęp do koszyka na tym komputerze, nawet jeśli nie jesteś zalogowany."
Rachunek 'Remember Me' to access your shopping cart on this computer even if you are not signed in.,"Zaznacz opcję ""Pamiętaj mnie"", aby uzyskać dostęp do koszyka na tym komputerze, nawet jeśli nie jesteś zalogowany."
Persistent Shopping Cart,Trwałe koszyk
General Options,Opcje ogólne
Enable Persistence,Włącz Persistence
Persistence Lifetime (seconds),Trwałość życia (sekundy)
"Enable ""Remember Me""","Włącz ""Zapamiętaj mnie"""
"""Remember Me"" Default Value","Domyślna wartość ""Remember Me"""
Clear Persistence on Sign Out,Wyczyść trwałość przy wylogowaniu
Persist Shopping Cart,Zachowaj koszyk
