Unable to save address. Please check input data.,Nie można zapisać adresu. Proszę sprawdzić dane wejściowe.
Cart %1 doesn't contain products,Koszyk %1 nie zawiera produktów
Could not apply coupon code,Nie można zastosować kodu kuponu
Coupon code is not valid,Kod kuponu jest nieprawidłowy
Could not delete coupon code,Nie można usunąć kodu kuponu
Cannot assign customer to the given cart. You don't have permission for this operation.,Nie można przypisać klienta do danego koszyka. Nie masz pozwolenia na tę operację.
Shipping address is not set,Adres wysyłki nie jest ustawiony
The requested Payment Method is not available.,Żądana metoda płatności nie jest dostępna.
We found an invalid request for adding product to quote.,Znaleźliśmy nieprawidłowe żądanie dodania produktu do oferty.
Product that you are trying to add is not available.,"Produkt, który próbujesz dodać, jest niedostępny."
This is the wrong quote item id to update configuration.,"To jest niewłaściwy identyfikator elementu oferty, aby zaktualizować konfigurację."
"This shipping method is not available. To use this shipping method, please contact us.","Ta metoda wysyłki nie jest dostępna. Aby skorzystać z tej metody wysyłki, skontaktuj się z nami."
The address model is not defined.,Model adresu nie jest zdefiniowany.
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","""Całkowity model adresu powinien zostać przedłużony z                     \ Magento \ Quote \ Model \ Quote \ Address \ Total \ AbstractTotal. """
Grand Total,Łączna suma
Shipping & Handling (%1),Wysyłka i obsługa ( %1)
Shipping & Handling,Wysyłka i obsługa
Shipping,Wysyłka
Subtotal,Suma częściowa
We found an invalid item option format.,Znaleźliśmy nieprawidłowy format opcji przedmiotu.
An item option with code %1 already exists.,Opcja elementu z kodem %1 już istnieje.
Item qty declaration error,Błąd deklaracji ilości towaru
Some of the products below do not have all the required options.,Niektóre z poniższych produktów nie mają wszystkich wymaganych opcji.
Something went wrong during the item options declaration.,Coś poszło nie tak podczas deklarowania opcji elementów.
We found an item options declaration error.,Znaleźliśmy błąd deklaracji opcji pozycji.
Some of the selected options are not currently available.,Niektóre z wybranych opcji nie są obecnie dostępne.
Selected option(s) or their combination is not currently available.,Wybrane opcje lub ich kombinacja nie są obecnie dostępne.
Some item options or their combination are not currently available.,Niektóre opcje elementów lub ich kombinacja nie są obecnie dostępne.
Cart %1 does not contain item %2,Koszyk %1 nie zawiera pozycji %2
Could not save quote,Nie można zapisać oferty
Cart %1 doesn't contain item  %2,Koszyk %1 nie zawiera pozycji %2
Could not remove item from quote,Nie można usunąć przedmiotu z oferty
The qty value is required to update quote item.,Wartość qty jest wymagana do zaktualizowania elementu wyceny.
Minimum order amount is %1,Minimalna kwota zamówienia to %1
Invalid customer id %1,Nieprawidłowy identyfikator klienta %1
Invalid address id %1,Nieprawidłowy identyfikator adresu %1
Invalid customer address id %1,Nieprawidłowy identyfikator adresu klienta %1
Cannot create quote,Nie można utworzyć cytatu
Cannot assign customer to the given cart. The cart belongs to different store.,Nie można przypisać klienta do danego koszyka. Koszyk należy do innego sklepu.
Cannot assign customer to the given cart. The cart is not anonymous.,Nie można przypisać klienta do danego koszyka. Wózek nie jest anonimowy.
Cannot assign customer to the given cart. Customer already has active cart.,Nie można przypisać klienta do danego koszyka. Klient ma już aktywny koszyk.
An error occurred on the server. Please try to place the order again.,Wystąpił błąd na serwerze. Spróbuj ponownie złożyć zamówienie.
Only 1 shipping assignment can be set,Można ustawić tylko 1 zamówienie wysyłki
This item price or quantity is not valid for checkout.,Ta cena lub ilość produktu nie jest ważna przy kasie.
Please check the shipping address information. %1,Sprawdź informacje o adresie wysyłki.  %1
Some addresses cannot be used due to country-specific configurations.,Niektóre adresy nie mogą być używane z powodu konfiguracji specyficznych dla kraju.
Please specify a shipping method.,Podaj metodę wysyłki.
Please check the billing address information. %1,Sprawdź informacje o adresie rozliczeniowym.  %1
Please select a valid payment method.,Wybierz prawidłową metodę płatności.
Store Credit,Kredyt sklepowy
Discount,Zniżka
Tax,Podatek
Cart contains virtual product(s) only. Shipping address is not applicable.,Koszyk zawiera tylko wirtualne produkty. Adres wysyłki nie ma zastosowania.
Shipping address not set.,Adres wysyłki nie został ustawiony.
Cannot set shipping method. %1,Nie można ustawić metody wysyłki.  %1
Shipping method is not applicable for empty cart,Metoda wysyłki nie dotyczy pustego koszyka
Cart contains virtual product(s) only. Shipping method is not applicable.,Koszyk zawiera tylko wirtualne produkty. Metoda wysyłki nie ma zastosowania.
"Carrier with such method not found: %1, %2","Nie znaleziono nośnika z taką metodą: %1, %2"
Cannot set shipping method. %1,Nie można ustawić metody wysyłki.  %1
Minimum Order Amount Exceeded.,Przekroczono minimalną kwotę zamówienia.
error123,error123
error345,błąd345
Carts,Wózki
Manage carts,Zarządzaj wózkami
Invalid state change requested,Wybrano niepoprawną zmianę stanu
