Credit Memos,Noty kredytowe
Orders,Święcenia
Invoices,Faktury
We can't get the order instance right now.,Nie możemy teraz uzyskać instancji zamówienia.
Create New Order,Utwórz nowe zamówienie
Save Order Address,Zapisz adres zamówienia
Shipping,Wysyłka
Billing,Dane do faktury
Edit Order %1 %2 Address,Edytuj zamówienie %1 %2 Adres
Order Address Information,Zamów informacje o adresie
Please correct the parent block for this block.,Popraw blok macierzysty dla tego bloku.
Submit Comment,Prześlij komentarz
Submit Order,Złóż zamówienie
Are you sure you want to cancel this order?,Czy na pewno chcesz anulować to zamówienie?
Cancel,Anuluj
Billing Address,Adres rozliczeniowy
Payment Method,Metoda płatności
Order Comment,Zamów komentarz
Coupons,Kupony
Please select a customer,Wybierz klienta
Create New Customer,Utwórz nowego klienta
Account Information,informacje o koncie
From,Od
To,Do
Message,Wiadomość
Edit Order #%1,Edytuj zamówienie nr %1
Create New Order for %1 in %2,Utwórz nowe zamówienie dla %1 w %2
Create New Order in %1,Utwórz nowe zamówienie w %1
Create New Order for %1,Utwórz nowe zamówienie dla %1
Create New Order for New Customer,Utwórz nowe zamówienie dla nowego klienta
Items Ordered,Przedmioty zamówione
This product is disabled.,Ten produkt jest wyłączony.
Buy %1 for price %2,Kup %1 za cenę %2
Item ordered qty,Produkt zamówiony w ilościach
%1 with %2 discount each, %1 z %2 zniżką każdy
%1 for %2, %1 dla %2
* - Enter custom price including tax,"* - Wprowadź niestandardową cenę, w tym podatek"
* - Enter custom price excluding tax,* - Podaj cenę niestandardową bez podatku
Configure,Skonfiguruj
This product does not have any configurable options,Ten produkt nie ma żadnych konfigurowalnych opcji
Newsletter Subscription,Subskrypcja newslettera
Please select products,Wybierz produkty
Add Selected Product(s) to Order,Dodaj wybrane produkty do zamówienia
ID,ID
Product,Produkt
SKU,SKU
Price,Cena
Select,Wybierz
Quantity,Ilość
Shipping Address,adres wysyłki
Shipping Method,Sposób wysyłki
Update Changes,Zaktualizuj zmiany
Shopping Cart,Wózek sklepowy
Are you sure you want to delete all items from shopping cart?,Czy na pewno chcesz usunąć wszystkie przedmioty z koszyka?
Clear Shopping Cart,Wyczyść koszyk
Products in Comparison List,Produkty na liście porównawczej
Recently Compared Products,Ostatnio porównywane produkty
Recently Viewed Products,ostatnio oglądane produkty
Last Ordered Items,Ostatnie zamówione przedmioty
Recently Viewed,Ostatnio oglądane
Wish List,Lista życzeń
Please select a store,Wybierz sklep
Order Totals,Zamów sumy
Shipping Incl. Tax (%1),Wysyłka z dostawą Podatek ( %1)
Shipping Excl. Tax (%1),Wysyłka bez wysyłki Podatek ( %1)
New Credit Memo for Invoice #%1,Nowa faktura kredytowa za fakturę # %1
New Credit Memo for Order #%1,Nowa nota kredytowa dla zamówienia nr %1
Refund Shipping (Incl. Tax),Wysyłka zwrotna (w tym podatek)
Refund Shipping (Excl. Tax),Wysyłka zwrotna (bez podatku)
Refund Shipping,Wysyłka zwrotna
Update Qty's,Zaktualizuj Qty
Refund,Zwrot
Refund Offline,Zwrot środków w trybie offline
Paid Amount,Zapłacona kwota
Refund Amount,Kwota Refundacji
Shipping Amount,Kwota wysyłki
Shipping Refund,Zwrot kosztów wysyłki
Order Grand Total,Zamów sumę ogólną
Adjustment Refund,Korekta zwrotu
Adjustment Fee,Opłata wyrównawcza
Send Email,Wysłać email
Are you sure you want to send a credit memo email to customer?,Czy na pewno chcesz wysłać wiadomość e-mail z potwierdzeniem kredytu do klienta?
Void,Unieważnić
Print,Wydrukować
The credit memo email was sent.,Wiadomość e-mail dotycząca noty kredytowej została wysłana.
The credit memo email wasn't sent.,Wiadomość e-mail dotycząca noty kredytowej nie została wysłana.
Credit Memo #%1 | %3 | %2 (%4),Nota kredytowa nr %1 |  %3 |  %2 ( %4)
Total Refund,Całkowity zwrot kosztów
New Invoice and Shipment for Order #%1,Nowa faktura i wysyłka dla zamówienia nr %1
New Invoice for Order #%1,Nowa faktura dla zamówienia nr %1
Submit Invoice and Shipment,Prześlij fakturę i przesyłkę
Submit Invoice,Prześlij fakturę
Are you sure you want to send an invoice email to customer?,Czy na pewno chcesz wysłać fakturę e-mail do klienta?
Credit Memo,Nota kredytowa
Capture,Zdobyć
The invoice email was sent.,E-mail z fakturą został wysłany.
The invoice email wasn't sent.,E-mail z fakturą nie został wysłany.
Invoice #%1 | %2 | %4 (%3),Faktura # %1 |  %2 |  %4 ( %3)
Invalid parent block for this block,Nieprawidłowy blok rodzica dla tego bloku
Order Statuses,Zamów statusy
Create New Status,Utwórz nowy status
Assign Status to State,Przydziel stan do stanu
Save Status Assignment,Zapisz przypisanie statusu
Assign Order Status to State,Przypisz status zamówienia do państwa
Assignment Information,Informacje o przydziałach
Order Status,Status zamówienia
Order State,Zamów państwo
Use Order Status As Default,Użyj statusu zamówienia jako domyślnego
Visible On Storefront,Visible On Storefront
Edit Order Status,Edytuj status zamówienia
Save Status,Zapisz status
New Order Status,Nowy status zamówienia
Order Status Information,Zamów informacje o statusie
Status Code,Kod statusu
Status Label,Etykieta statusu
Store View Specific Labels,Przechowuj Zobacz określone etykiety
Total Paid,Pełna kwota
Total Refunded,Łącznie zwrócone
Total Due,Razem należne
Edit,Edytować
Are you sure you want to send an order email to customer?,Czy na pewno chcesz wysłać wiadomość e-mail z zamówieniem do klienta?
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Spowoduje to zwrot w trybie offline. Aby utworzyć zwrot online, otwórz fakturę i utwórz dla niej fakturę korygującą. Chcesz kontynuować?"
Are you sure you want to void the payment?,Czy na pewno chcesz anulować płatność?
Hold,Utrzymać
hold,utrzymać
Unhold,Wznów
unhold,wstrzymaj
Are you sure you want to accept this payment?,Czy na pewno chcesz zaakceptować tę płatność?
Accept Payment,Akceptuj płatności
Are you sure you want to deny this payment?,Czy na pewno chcesz odmówić tej płatności?
