Cart Price Rules,Reguły cen koszyka
Add New Rule,Dodaj nową regułę
Delete,Kasować
Are you sure you want to delete this?,Czy na pewno chcesz to usunąć?
Reset,Nastawić
Save and Continue Edit,Zapisz i kontynuuj edycję
Save,Zapisać
Actions,działania
Apply the rule only to cart items matching the following conditions (leave blank for all items).,Zastosuj tę zasadę tylko do przedmiotów koszyka spełniających następujące warunki (pozostaw puste dla wszystkich pozycji).
Apply To,Zastosuj do
Conditions,Warunki
Apply the rule only if the following conditions are met (leave blank for all products).,"Zastosuj regułę tylko wtedy, gdy spełnione są następujące warunki (pozostaw puste dla wszystkich produktów)."
Manage Coupon Codes,Zarządzaj kodami kuponów
Coupon Qty,Wartość kuponu
Code Length,Długość kodu
"Excluding prefix, suffix and separators.","Z wyłączeniem prefiksu, sufiksu i separatorów."
Code Format,Format kodu
Code Prefix,Przedrostek kodu
Code Suffix,Sufiks kodu
Dash Every X Characters,Dash Every X Postacie
If empty no separation.,"Jeśli puste, brak separacji."
Generate,Generować
Coupon Code,Kod kuponu
Created,Stworzony
Uses,Używa
No,Nie
Yes,tak
Times Used,Używane czasy
CSV,CSV
Excel XML,Excel XML
Are you sure you want to delete the selected coupon(s)?,Czy na pewno chcesz usunąć wybrane kupony?
Labels,Etykiety
Store View Specific Labels,Przechowuj Zobacz określone etykiety
ID,ID
Rule,Reguła
Start,Początek
End,Koniec
Status,Status
%1 - Discounts and Coupons,% 1 - Rabaty i kupony
Coupons/Discounts,Kupony / rabaty
Promotions,Promocje
You deleted the rule.,Usunąłeś regułę.
We can't delete the rule right now. Please review the log and try again.,Nie możemy teraz usunąć reguły. Sprawdź dziennik i spróbuj ponownie.
We can't find a rule to delete.,Nie możemy znaleźć reguły do ​​usunięcia.
This rule no longer exists.,Ta reguła już nie istnieje.
Edit Rule,Edytuj regułę
New Rule,Nowa zasada
New Cart Price Rule,Nowa reguła ceny koszyka
Rule is not defined,Reguła nie jest zdefiniowana
%1 coupon(s) have been generated.,Wygenerowano% 1 kuponów.
Invalid data provided,Podano nieprawidłowe dane
Something went wrong while generating coupons. Please review the log and try again.,Coś poszło nie tak podczas generowania kuponów. Sprawdź dziennik i spróbuj ponownie.
Catalog,Katalog
The wrong rule is specified.,Podano niewłaściwą regułę.
You saved the rule.,Zapisałeś regułę.
Something went wrong while saving the rule data. Please review the error log.,Coś poszło nie tak podczas zapisywania danych reguły. Sprawdź dziennik błędów.
Alphanumeric,Alfanumeryczne
Alphabetical,Alfabetyczny
Numeric,Numeryczne
We cannot create the requested Coupon Qty. Please check your settings and try again.,Nie możemy utworzyć żądanej kwoty kuponu. Sprawdź ustawienia i spróbuj ponownie.
Specified rule does not allow coupons,Określona reguła nie zezwala na kupony
Specified rule only allows auto generated coupons,Określona reguła zezwala tylko na kupony generowane automatycznie
Specified rule does not allow auto generated coupons,Określona reguła nie zezwala na automatyczne generowanie kuponów
Error occurred when saving coupon: %1,Wystąpił błąd podczas zapisywania kuponu:% 1
Discount (%1),Rabat (% 1)
Discount,Zniżka
Coupon with the same code,Kupon z tym samym kodem
