New Shipment for Order #%1,Nowa przesyłka dla zamówienia nr% 1
Submit Shipment,Prześlij przesyłkę
You are trying to add a quantity for some products that doesn't match the quantity that was shipped.,"Próbujesz dodać ilość dla niektórych produktów, które nie odpowiadają ilości, która została wysłana."
Products should be added to package(s),Produkty należy dodać do pakietu (ów)
The value that you entered is not valid.,Wprowadzona wartość jest nieprawidłowa.
Add Tracking Number,Dodaj numer śledzenia
Custom Value,Wartość niestandardowa
Add,Dodaj
Send Tracking Information,Wyślij informacje o śledzeniu
Are you sure you want to send a Shipment email to customer?,Czy na pewno chcesz wysłać wiadomość e-mail dotyczącą przesyłki do klienta?
Print,Wydrukować
the shipment email was sent,wiadomość e-mail o wysyłce została wysłana
the shipment email is not sent,e-mail wysyłkowy nie jest wysyłany
Shipment #%1 | %3 (%2),Przesyłka #% 1 | % 3 (% 2)
Create Shipping Label...,Utwórz etykietę wysyłkową ...
Print Shipping Label,Wydrukuj etykietę wysyłkową
Show Packages,Pokaż pakiety
About Your Shipment,O Twojej przesyłce
Order # %1,Zamówienie nr% 1
Back to My Orders,Powrót do moich zamówień
View Another Order,Wyświetl kolejne zamówienie
Please enter a comment.,Wprowadź komentarz.
Cannot add new comment.,Nie można dodać nowego komentarza.
Please specify a carrier.,Proszę określić przewoźnika.
Please enter a tracking number.,Wprowadź numer śledzenia.
Shipments,Przesyłki
We can't initialize shipment for adding tracking number.,Nie możemy zainicjować wysyłki w celu dodania numeru śledzenia.
Cannot add tracking number.,Nie można dodać numeru śledzenia.
You created the shipping label.,Utworzono etykietę wysyłki.
An error occurred while creating shipping label.,Wystąpił błąd podczas tworzenia etykiety wysyłki.
You sent the shipment.,Wysłałeś przesyłkę.
Cannot send shipment information.,Nie można wysłać informacji o przesyłce.
There are no shipping labels related to selected orders.,Brak etykiet wysyłkowych związanych z wybranymi zamówieniami.
New Shipment,Nowa przesyłka
We don't recognize or support the file extension in this shipment: %1.,Nie rozpoznajemy ani nie obsługujemy rozszerzenia pliku w tej przesyłce:% 1.
We can't initialize shipment for delete tracking number.,Nie możemy zainicjować wysyłki pod kątem usunięcia numeru śledzenia.
We can't delete tracking number.,Nie możemy usunąć numeru śledzenia.
We can't load track with retrieving identifier right now.,Nie możemy załadować śladu z pobieraniem identyfikatora już teraz.
We can't save the shipment right now.,Nie możemy teraz zapisać przesyłki.
"""Shipment Document Validation Error(s):\n"" .","""Błędy sprawdzania poprawności dokumentu wysyłki: \ n""."
