"Condition type ""%1"" is not allowed","Typ warunku ""%1"" jest niedozwolony"
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Parametr konfiguracji ""formElement"" jest wymagany do pola ""%1""."
Remove %1,Usuń %1
Add New %1,Dodaj nowy %1
New %1,Nowy %1
Please select item(s).,Proszę wybrać produkty.
Invalid XML in file %1:\n%2,Niepoprawny XML w pliku %1:\n%2
.,.
Unsupported bookmark action.,Nieobsługiwana akcja zakładek.
"Parameter ""class"" must be present.",Prarametr „klasa” musi być widoczny
"Parameter ""sortOrder"" must be present.",Parametr „typSortowania” musi być widoczny
Invalid UI Component element name: '%1',Nieprawidłowa nazwa komponentu UI: '%1'
"Bookmark with id ""%1"" does not exist.","Zakładka z id ""%1"" nie istnieje."
Invalid UI Component element name: '',Niepoprawna nazwa komponentu UI: ''
Cancel,Anuluj
Back,Powrót
Next,Dalej
Changes have been made to this section that have not been saved.,"Zostały wprowadzone zmiany, które nie zostały zapisane."
This tab contains invalid data. Please resolve this before saving.,TA zakładka zawiera niepoprawne dane. Proszę naprawić przed zapisaniem.
Assign,Przydziel
Options,Opcje 
records found,Znalezione pozycje
selected,Zaznaczone
of,z
Filters,Filtry
Add,Dodaj
Something went wrong.,Coś się popsuło
Yes,Tak
No,Nie
Done,Zrobione
options,Opcje 
Select...,Zaznacz
Selected,zaznaczone
Select All,Zaznacz wszystkie
Deselect All,Odznacz wszystkie
Select All on This Page,Zaznacz wszystkie produkty na tej stronie
Deselect All on This Page,Odznacz wszystkie produkty na tej stronie 
On,Wł.
Off,Wył.
Go to Details Page,Przejdź do strony ze szczegółami
New View,Nowy widok
Default View,Domyślny widok
${ $.visible } out of ${ $.total } visible,${ $.visible } z ${ $.total } widocznych
You have successfully saved your edits.,Poprawnie zapisałeś swoją modyfikację
There are {placeholder} messages requires your attention.,Znajdują się {placeholder} wiadomości wymagające Twojego działania.
from,z
to,do
You haven't selected any items!,Nie zaznaczyłeś żadnych produktów.
Search by keyword,Szukaj po słowach kluczowych
Keyword,słowo kluczowe
Select Date,Zaznacz dane
Please enter more or equal than {0} symbols.,Proszę wpisz więcej lub tyle samo co {0} symboli
Please enter less or equal than {0} symbols.,Proszę wpisz mniej lub tyle samo co {0} symboli
Please enter {0} words or less.,Proszę wpisz maksymalnie {0} słów.
Please enter at least {0} words.,Proszę wpisz przynajmniej {0} słów.
Please enter between {0} and {1} words.,Proszę wpisz pomiędzy {0} i {1} słów.
Letters or punctuation only please,Tylko litery i znaki interpunkcyjne dozwolone.
"Letters, numbers, spaces or underscores only please","Litery, liczby, spacje dozwolone"
Letters only please,Tylko litery dozwolone
No white space please,Spacje nie są dozwolone
Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx,Twój kod ZIP musi być z przedziału 902xx-xxxx do 905-xx-xxxx
A positive or negative non-decimal number please,Tylko liczby całkowite dozowlone
The specified vehicle identification number (VIN) is invalid.,Numer nadwozia (VIN) jest nieprawidłowy
