Back,Powrót
Reset,Reset
Delete Role,Usuń plik
Are you sure you want to do this?,Czy na pewno chcesz to zrobić
Save Role,Zapisz grupę
Roles,role
Add New Role,Dodaj nową grupę
Role Information,Informacje o grupie
Role Users,użytkownicy grupy
User ID,ID użytkownika
User Name,Nazwa użytkownika
First Name,Pierwsze imię
Last Name,Nazwisko
Email,Email
Status,Status
Active,Aktywny
Inactive,Nieaktywny
Role Resources,Zasobu grupy
Role Info,Informacje o grupie
Role Name,Nazwa grupy
Current User Identity Verification,Bieżąca weryfikacja użytkownika
Your Password,Twoje hasło
Add New User,Dodaj nowego użytkownika
Users,Użytkownicy
Save User,Zapisz użytkownika
Delete User,Usuń użytkownika
Are you sure you want to revoke the user's tokens?,Czy na pewno chcesz odwołać tokeny użytkownika?
Force Sign-In,Zaloguj się
Edit User '%1',Edytuj użytkonika %1
New User,Nowy użytkownik
Account Information,Informacje o koncie
User Email,Email użytkonika
Password,Hasło
New Password,Nowe hasło
Password Confirmation,Potwierdzenie hasła
Interface Locale,Lokalny interface
This account is,To konto jest
Account Status,Status konta
User Roles Information,Użytkownicy grupy informacje
Assigned,Przypisany
Role,Grupa
User Information,Informacje o użytkoniku
User Info,Informacje o użytkoniku
User Role,Grupa użytkonika
Please correct the password reset token.,Proszę poprawić hasło i token
Please specify the correct account and try again.,Proszę wybrać poprawne konto i spróbować jeszcze raz
Your password reset link has expired.,Twój link do hasła wygasł
We're unable to send the password reset email.,Nie możemy wysłać maila z resetem hasła
We'll email you a link to reset your password.,Wyślemy maila z linkiem do restartowania hasła
Please correct this email address:,Proszę poprawić adres email
Please enter an email address.,Proszę podać adres email
You updated your password.,Uaktualniłeś swoje hasło
Locked Users,Zablokowaniu użytkownicy
Unlocked %1 user(s).,Odblokowano %1 użytkowników
System,System
Permissions,Uprawnienia
You cannot delete your own account.,Nie możesz usunąć swojego własnego konta
You have entered an invalid password for current user.,Złe hasło
You deleted the user.,Usunąłeś użytkownika
We can't find a user to delete.,Nie możemy znaleźć użytkownika do usunięcia
This user no longer exists.,Ten użytkownik już nie istnieje
Edit User,Edytuj użytkownika
You have revoked the user's tokens.,Cofnąłeś token użytkownika
We can't find a user to revoke.,Nie możemy odnaleźć użytkownika do odwołania
You cannot delete self-assigned roles.,Nie możesz usunąć założonej przez siebie grupy
You deleted the role.,Usunąłeś grupę
An error occurred while deleting this role.,Błąd podczas usuwania grupy
Edit Role,Edytuj grupę
New Role,Nowa grupa
This role no longer exists.,Ta grupa już nie istnieje
