First-Class Mail Large Envelope,Koperta Pierwszej Klasy Duża Koperta
First-Class Mail Letter,List pierwszej klasy
First-Class Package Service - Retail,Usługa pierwszej klasy - detal
First-Class Mail Postcards,Pocztówki pocztowe pierwszej klasy
Priority Mail,Wiadomość priorytetowa
Priority Mail Express Hold For Pickup,Poczta priorytetowa Express Hold For Pickup
Priority Mail Express,Priority Mail Express
Retail Ground,Powierzchnia handlowa
Media Mail,Poczta medialna
Library Mail,Mail biblioteczny
Priority Mail Express Flat Rate Envelope,Priorytetowa koperta o równomiernej szybkości emisji
First-Class Mail Large Postcards,Poczta pierwszej klasy Duże pocztówki
Priority Mail Flat Rate Envelope,Koperta taryfowa o poczcie priorytetowej
Priority Mail Medium Flat Rate Box,Pole średniej stawki z priorytetem na poczcie
Priority Mail Large Flat Rate Box,Poczta priorytetowa Duża skrzynka płaska
Priority Mail Express Sunday/Holiday Delivery,Priority Mail Express Niedziela / Dostawa świąteczna
Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope,Priority Mail Express Niedziela / świąteczna kurierska koperta
Priority Mail Express Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Poczta elektroniczna Poczta elektroniczna Poczta elektroniczna
Priority Mail Small Flat Rate Box,Priority Mail Small Flat Rate Box
Priority Mail Padded Flat Rate Envelope,Koperta z priorytetową kopertą na poczcie priorytetowej
Priority Mail Express Legal Flat Rate Envelope,Poczta priorytetowa Express Legal Legal Rate Envelope
Priority Mail Express Legal Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Express Prawna koperta z płaską taryfą do odbioru
Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope,Poczta priorytetowa Express Niedziela / Dostawa świąteczna Koperta z taryfą o stałej stopie procentowej
Priority Mail Hold For Pickup,Poczta priorytetowa do zatrzymania
Priority Mail Large Flat Rate Box Hold For Pickup,Poczta priorytetowa Duża skrzynia ze stałą opłatą dla odbioru
Priority Mail Medium Flat Rate Box Hold For Pickup,Poczta priorytetowa Średnie pole taryfy stałej do odbioru
Priority Mail Small Flat Rate Box Hold For Pickup,Poczta priorytetowa Mała skrzynka ze stałą opłatą dla odbioru
Priority Mail Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Koperta taryfowa do odbioru
Priority Mail Gift Card Flat Rate Envelope,Koperty o poczcie priorytetowej na poczcie priorytetowej
Priority Mail Gift Card Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Karta podarunkowa Płaska koperta podtrzymująca do odbioru
Priority Mail Window Flat Rate Envelope,Koperta taryfowa z priorytetem poczty
Priority Mail Window Flat Rate Envelope Hold For Pickup,Okno Poczta priorytetowa Koperta ze współczynnikiem taryfowym dla odbioru
Priority Mail Small Flat Rate Envelope,Poczta priorytetowa Mała koperta płaska
Priority Mail Small Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Mała koperta z płaską stawką do odbioru
Priority Mail Legal Flat Rate Envelope,Koperta priorytetowa Poczta prawna
Priority Mail Legal Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Prawna płaska koperta podtrzymująca do odbioru
Priority Mail Padded Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Wyściełana koperta z płaską kopertą Trzymaj do odbioru
Priority Mail Regional Rate Box A,Priorytetowa ramka regionalna kursu A
Priority Mail Regional Rate Box A Hold For Pickup,Priority Mail Regional Rate Box A Hold To Pickup
Priority Mail Regional Rate Box B,Priorytetowa ramka regionalna kursu B
Priority Mail Regional Rate Box B Hold For Pickup,Priority Mail Regional Rate Box B Hold For Pickup
First-Class Package Service Hold For Pickup,Usługa Pakowania Pierwszej Klasy Hold For Pickup
Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes,Poczta priorytetowa Express Niedziela / Dostawy świąteczne
Priority Mail Regional Rate Box C,Priority Mail Regional Rate Box C
Priority Mail Regional Rate Box C Hold For Pickup,Priority Mail Regionalna skrzynka taryfowa C Hold For Pickup
First-Class Package Service,Usługa pierwszej klasy
Priority Mail Express Padded Flat Rate Envelope,Koperta z priorytetem Mail Express z miękką kopertą
Priority Mail Express Padded Flat Rate Envelope Hold For Pickup,Poczta priorytetowa Mail Express z płaską kopertą do przechowywania
Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope,Priority Mail Express Niedziela / dostawa świąteczna Wyściełana koperta płaska
Priority Mail Express International,Priority Mail Express International
Priority Mail International,Międzynarodowa Poczta Priorytetowa
Global Express Guaranteed (GXG),Gwarantowana globalna ekspresowa (GXG)
Global Express Guaranteed Document,Dokument Global Express Guaranteed
Global Express Guaranteed Non-Document Rectangular,"Gwarancja globalnej ekspresowej, niebędąca dokumentem, prostokątna"
Global Express Guaranteed Non-Document Non-Rectangular,"Gwarantowana globalnie ekspresowa, nie-dokumentowa, nieprostokątna"
Priority Mail International Flat Rate Envelope,Poczta priorytetowa International Flat Rate Envelope
Priority Mail International Medium Flat Rate Box,Poczta priorytetowa International Medium Flat Rate Box
